ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
11811,0,272,25.100000381469727,9.899999618530273,6.360000133514404,12.5600004196167,-76.62500000000026,-1.625
11812,0,2041,16.299999237060547,11.300000190734863,85.68000030517578,8.770000457763672,29.458333333333258,-0.041666666666679
11813,0,372,26.5,12.399999618530273,7.329999923706055,12.729999542236328,1.458333333333215,9.125
11814,0,936,20.100000381469727,9.699999809265137,32.560001373291016,10.350000381469727,13.20833333333323,-18.625
11815,0,677,25.700000762939453,13.199999809265137,9.899999618530273,12.800000190734863,31.375,3.29166666666665
11816,0,120,26.899999618530273,10.5,4.570000171661377,13.170000076293945,-73.9583333333336,-5.875
11817,0,282,25.299999237060547,9.899999618530273,2.2100000381469727,13.289999961853027,-77.12500000000026,-2.541666666666679
11818,0,153,26.200000762939453,11.899999618530273,15.279999732971191,11.640000343322754,-57.62500000000023,-8.208333333333343
11819,0,420,23.799999237060547,8,19.8700008392334,11.569999694824219,38.125,-8.541666666666679
11820,0,1595,16.100000381469727,16.399999618530273,28.829999923706055,10.869999885559082,23.458333333333258,-27.70833333333333
11821,0,1130,19.899999618530273,11.600000381469727,42.13999938964844,10.59000015258789,13.20833333333323,-16.625
11822,0,547,23.700000762939453,9.600000381469727,14.979999542236328,11.710000038146973,13.70833333333323,0.375
11823,0,10,25.600000381469727,10.399999618530273,1.149999976158142,13.65999984741211,-78.2083333333336,22.041666666666647
11824,0,119,24.100000381469727,10.399999618530273,16.68000030517578,11.210000038146973,-98.04166666666697,21.291666666666647
11825,0,245,25,9.5,23.81999969482422,11,11.624999999999886,-2.875
11826,0,321,29.700000762939453,14,3.119999885559082,13.819999694824219,-6.875000000000142,17.04166666666665
11827,0,275,29.200000762939453,14.100000381469727,2.4700000286102295,13.579999923706055,3.874999999999886,14.625
11828,0,363,25.5,9.300000190734863,17.469999313354492,11.1899995803833,-54.62500000000022,-0.541666666666679
11829,0,1424,20.5,14.300000190734863,5.920000076293945,12.369999885559082,18.041666666666572,-19.708333333333343
11830,0,312,28.299999237060547,14.100000381469727,0.5199999809265137,14.279999732971191,14.875,10.875
11831,0,846,14.600000381469727,10.5,41.029998779296875,10.350000381469727,4.874999999999886,36.20833333333331
11832,0,1201,18.600000381469727,16.899999618530273,4.550000190734863,13.470000267028809,24.208333333333258,-26.29166666666667
11833,0,355,9.600000381469727,8.300000190734863,40.38999938964844,9.979999542236328,7.791666666666558,47.541666666666636
11834,0,332,29.299999237060547,14.600000381469727,3.0199999809265137,13.399999618530273,1.708333333333215,15.875
11835,0,37,26.600000381469727,8.899999618530273,5.960000038146973,12.880000114440918,-63.791666666666906,-3.791666666666679
11836,0,535,24.799999237060547,10.699999809265137,9.350000381469727,12.510000228881836,26.7916666666666,1.875
11837,0,6,26.600000381469727,9.100000381469727,0.9800000190734863,13.819999694824219,-55.12500000000022,-2.125
11838,0,480,27.100000381469727,16.299999237060547,2.490000009536743,13.579999923706055,28.375,15.375
11839,0,1236,17.5,19.299999237060547,8.850000381469727,13.279999732971191,-106.79166666666698,30.541666666666643
